# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak_310	Ankrd33b (+432)
peak_311	Cpq (+138)
peak_312	Tspyl5 (+187)
peak_313	Matn2 (-302)
peak_314	Erich5 (+381)
peak_315	Snx31 (+91)
peak_316	Cthrc1 (-142)
peak_317	Tmem74 (+246)
peak_318	Enpp2 (+5678), Nov (+168766)
peak_319	Col14a1 (+579)
peak_320	Ndrg1 (+118)
peak_321	Mroh5 (+626)
peak_322	Ly6i (-5047), Ly6a (+9554)
peak_323	Ly6h (+1123), Ly6l (+116675)
peak_324	Elfn2 (-1325)
peak_325	Mchr1 (+36)
peak_326	Cyp2d22 (+534)
peak_327	Tcf20 (+782)
peak_328	Ppara (+45)
peak_329	Pkdrej (-48)
peak_330	Syt10 (-410)
peak_331	Cpne8 (+75)
peak_332	Abcd2 (+113)
peak_333	Lrrk2 (+159)
peak_334	Pus7l (-412), Irak4 (+316)
peak_335	Gm8888 (-285453), Slc38a4 (+3362)
peak_336	Slc38a4 (-4045)
peak_337	Pfkm (+377)
peak_338	Faim2 (+180)
peak_339	Acvrl1 (-496)
peak_340	Sp1 (-34918), Sp7 (-5137)
peak_341	Hoxc8 (+935)
peak_342	Gpr84 (+4128), Copz1 (+33399)
peak_343	Pde1b (+138)
peak_344	Sec14l5 (-26)
peak_345	Tmem114 (+335)
peak_346	Emp2 (+517)
peak_347	Snai2 (-129)
peak_348	Slc7a4 (+573)
peak_349	Ap2m1 (-3930)
peak_350	Vwa5b2 (+1182), Alg3 (+20004)
peak_351	2510009E07Rik (+128)
peak_352	Tmem41a (+637)
peak_353	Dgkg (+698)
peak_354	Dgkg (-149176), Crygs (+5061)
peak_355	Il1rap (+13)
peak_356	Gmnc (+21951), Il1rap (+386319)
peak_357	Hrasls (-46)
peak_358	Lrrc15 (-25778), Gp5 (+1745)
peak_359	Tmem44 (-100)
peak_360	Pigz (-44343), Meltf (+10698)
peak_361	Muc13 (-108488), Heg1 (+1004)
peak_362	Casr (+734)
peak_363	Igsf11 (+533)
peak_364	Sidt1 (+372)
peak_365	Cfap44 (+600)
peak_366	Tmprss7 (+39616), Gcsam (+43662)
peak_367	Phldb2 (+251)
peak_368	Tmem45a (-260)
peak_369	Rbm11 (+538)
peak_370	Clic6 (+284)
peak_371	Ripply3 (+293)
peak_372	Tiam2 (+543)
peak_373	Synj2 (+405)
peak_374	Synj2 (+64066), Serac1 (+74395)
peak_375	Rsph3a (+389)
peak_376	Gm17087 (+41510), T (+90936)
peak_377	Slc22a3 (+65)
peak_378	Mrgprh (+3954), Pnldc1 (+30012)
peak_379	Zfp677 (+50)
peak_380	Zfp54 (+206)
peak_381	Zfp994 (-115)
peak_382	Gm9805 (-15156), Vmn2r112 (+73467)
peak_383	Bicdl2 (+406)
peak_384	Meiob (+268)
peak_385	Neurl1b (-399)
peak_386	Grm4 (+320)
peak_387	Pacsin1 (+610)
peak_388	Pacsin1 (+29916), Spdef (+43446)
peak_389	Tcp11 (+4844), Anks1 (+166368)
peak_390	Mtch1 (-7886), Fgd2 (-5152)
peak_391	Mdga1 (-60)
peak_392	Abcg1 (-196)
peak_393	Rasal3 (-12391), Pglyrp2 (+5047)
peak_394	Psmb8 (+146)
peak_395	Tap2 (+1966), Gm15821 (+8966)
peak_396	H2-Ab1 (+947)
peak_397	H2-Eb2 (-15881), H2-Eb1 (+3907)
peak_398	BC051142 (+700)
peak_399	Tnxb (+1834), C4b (+71513)
peak_400	H2-T23 (+786)
peak_401	Gm11127 (-52462), Gm7030 (+18592)
peak_402	H2-T3 (-632)
peak_403	Olfr94 (-13343), Olfr95 (+1724)
peak_404	Adgrf1 (-5083), Tnfrsf21 (+248691)
peak_405	Rcan2 (-139)
peak_406	Rsph9 (+218)
peak_407	Dlk2 (+68)
peak_408	Tspo2 (-2645), Unc5cl (-734)
peak_409	Dazl (-350)
peak_410	Plcl2 (-193)
peak_411	Kcnh8 (-921)
peak_412	St6gal2 (+712)
peak_413	Sema6b (-652)
peak_414	Tubb4a (+248)
peak_415	Nudt12 (+416)
peak_416	Epb41l3 (+486)
peak_417	Srd5a2 (-495)
peak_418	Ltbp1 (+748)
peak_419	Qpct (+300)
peak_420	Galm (+723)
peak_421	Cdkl4 (-12420), Map4k3 (+151839)
peak_422	Haao (-3753)
peak_423	Adcyap1 (+2961)
peak_424	Colec12 (+112)
peak_425	Greb1l (+372)
peak_426	Gata6 (-1086)
peak_427	Ankrd29 (-581)
peak_428	Lama3 (+326)
peak_429	Cabyr (+17)
peak_430	Gm10036 (-72893), Chst9 (-41855)
peak_431	Dsc2 (+384)
peak_432	Nol4 (-270366), Dtna (-104732)
peak_433	Celf4 (+74007), AW554918 (+510956)
peak_434	Proc (+5807), Iws1 (+66022)
peak_435	Gypc (-132)
peak_436	Gfra3 (-146)
peak_437	Pcdha1 (+947)
peak_438	Pcdha11 (+127)
peak_439	Pcdhb3 (-4329)
peak_440	Pcdhb4 (-5421), Pcdhb3 (+1235)
peak_441	Pcdhb6 (-11305), Pcdhb5 (+2260)
peak_442	Pcdhb20 (-5293), Pcdhb19 (+1980)
peak_443	Pcdhb21 (-7396), Pcdhb20 (+1961)
peak_444	Pcdhb22 (-3040)
peak_445	Pcdhga11 (-3106)
peak_446	Kcnn2 (+36)
peak_447	Ticam2 (-271)
peak_448	Lvrn (-134)
peak_449	Fbn2 (-273)
peak_450	Adamts19 (+332)
peak_451	Arhgef37 (+18)
peak_452	Gnal (-270)
peak_453	Mppe1 (-552)
peak_454	St8sia5 (+15), Gm7276 (+263)
peak_455	Kcng2 (+584)
peak_456	Mbp (+79361), Zfp236 (+138360)
peak_457	Fam69c (-31)
peak_458	Cyb5a (-12622), Fam69c (+118474)
peak_459	Neto1 (+428)
peak_460	Ptprcap (+2038), Rps6kb2 (+6710)
peak_461	Peli3 (-29)
peak_462	Cst6 (+249)
peak_463	Hrasls5 (+201)
peak_464	Lrrc10b (+152)
peak_465	Vwce (+133)
peak_466	Gm4952 (-3529)
peak_467	Prune2 (-118)
peak_468	Trpm6 (-199)
peak_469	Gda (+452)
peak_470	Mamdc2 (+558)
peak_471	Glis3 (+755)
peak_472	Rln1 (+216)
peak_473	Trpd52l3 (-55204), Il33 (+2796)
peak_474	Prkg1 (-313)
peak_475	Asah2 (-46663), Sgms1 (+241184)
peak_476	Lipo3 (+423)
peak_477	Ch25h (-122)
peak_478	Slc16a12 (+14)
peak_479	Pcgf5 (+378)
peak_480	Ppp1r3c (-477)
peak_481	Myof (+73)
peak_482	Pik3ap1 (+125)
peak_483	Loxl4 (-374)
peak_484	Pyroxd2 (+257)
peak_485	Cnnm1 (-280)
peak_486	Nkx2-3 (+967)
peak_487	Cpn1 (+108)
peak_488	As3mt (+947)
peak_489	Vwa2 (-241)
peak_490	Ablim1 (-98646), Fam160b1 (-46331)
peak_491	Olah (-21037), Meig1 (+4401)
peak_492	Proser2 (-921)
peak_493	Prkcq (+333)
peak_494	Pfkfb3 (-51522), Rbm17 (+49639)
peak_495	Il15ra (-200)
peak_496	Rsu1 (+15)
peak_497	St8sia6 (+1218), Vim (+218894)
peak_498	Cacnb2 (-110)
peak_499	Nebl (+195)
peak_500	Nxph2 (-104)
peak_501	Fam163b (+572)
peak_502	Lamc3 (-4)
peak_503	Pip5kl1 (-125), 9430097D07Rik (+91)
peak_504	Rab14 (-55976), Gsn (-25284)
peak_505	Ggta1 (-120207), Dab2ip (-40381)
peak_506	Ptgs1 (+791)
peak_507	Crb2 (-4441)
peak_508	Lypd6b (-39)
peak_509	Nmi (+529)
peak_510	Cacnb4 (-124)
peak_511	Galnt13 (+368)
peak_512	Cd302 (-119)
peak_513	Pla2r1 (+42)
peak_514	Tank (-616044), Rbms1 (-81104)
peak_515	Ifih1 (+68)
peak_516	Ttc21b (+658)
peak_517	Erich2 (+171)
peak_518	Gpr155 (+225)
peak_519	Chrna1 (-5183), Chn1 (+189825)
peak_520	Pde11a (-150)
peak_521	Osbpl6 (+440)
peak_522	Itga4 (-328)
peak_523	Fam171b (+350)
peak_524	Spi1 (-17999), Slc39a13 (-7814)
peak_525	Madd (-9708), Nr1h3 (+1509)
peak_526	D430041D05Rik (+101)
peak_527	Fibin (+368)
peak_528	Fmn1 (-431)
peak_529	Fsip1 (+185)
peak_530	Gchfr (-92)
peak_531	Ltk (+1613), Itpka (+16481)
