# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
peak_459	Ipmk (+476879)
peak_460	Zwint (-161799)
peak_461	Zwint (+283162)
peak_462	Pcdh15 (-527024)
peak_463	Pcdh15 (-384111)
peak_464	Pcdh15 (+314243)
peak_465	Pcdh15 (+421842)
peak_466	Gnaz (-292072)
peak_467	Rab36 (+6850)
peak_468	Ggt5 (+14927)
peak_469	Slc5a4b (-6946)
peak_470	Prmt2 (+14930)
peak_471	Dip2a (-29597)
peak_472	Ube2g2 (+27263)
peak_473	Olfr1354 (-18428)
peak_474	Olfr8 (-10268)
peak_475	Theg (+8043)
peak_476	Onecut3 (+19444)
peak_477	Nuak1 (+285242)
peak_478	Pwp1 (-221421)
peak_479	Timp3 (-65750)
peak_480	Nt5dc3 (+17683)
peak_481	Stab2 (+99080)
peak_482	1700113H08Rik (+13941)
peak_483	1700113H08Rik (+122759)
peak_484	Arl1 (+8013)
peak_485	Slc5a8 (+159624)
peak_486	Uhrf1bp1l (+219784)
peak_487	Tmpo (-86599)
peak_488	Tmpo (-160999)
peak_489	Nedd1 (-86927)
peak_490	Cfap54 (+21167)
peak_491	Tmcc3 (-88071)
peak_492	Cradd (-7871)
peak_493	Cradd (-28471)
peak_494	Btg1 (+57020)
peak_495	C030005K15Rik (-319115)
peak_496	Atp2b1 (-363922)
peak_497	Atp2b1 (-325318)
peak_498	Poc1b (-32414)
peak_499	Csl (+163911)
peak_500	Csl (+159712)
peak_501	Csl (+91498)
peak_502	Csl (+19450)
peak_503	Kitl (-124483)
peak_504	Gm4301 (-122964)
peak_505	Mgat4c (-229754)
peak_506	Mgat4c (-50642)
peak_507	Nts (+175028)
peak_508	Nts (+166310)
peak_509	Nts (+57029)
peak_510	Lrriq1 (+21979)
peak_511	Slc6a15 (+317090)
peak_512	Slc6a15 (+342228)
peak_513	Slc6a15 (+386879)
peak_514	Gm21293 (-150925)
peak_515	Ccdc59 (-31737)
peak_516	Mettl25 (-84141)
peak_517	Ppfia2 (+65389)
peak_518	Lin7a (+94777)
peak_519	Pawr (-67120)
peak_520	Nav3 (-224872)
peak_521	Nav3 (-364315)
peak_522	E2f7 (-117302)
peak_523	E2f7 (+15068)
peak_524	Zdhhc17 (+23406)
peak_525	Phlda1 (+88556)
peak_526	Kcnc2 (+52269)
peak_527	Kcnc2 (+153661)
peak_528	Atxn7l3b (+56418)
peak_529	Atxn7l3b (-460353)
peak_530	Trhde (+269098)
peak_531	Trhde (+265649)
peak_532	Tph2 (+149094)
peak_533	Tph2 (-27178)
peak_534	Ptprr (+5979)
peak_535	Cnot2 (-146767)
peak_536	Cand1 (+35398)
peak_537	Cand1 (-47598)
peak_538	Grip1 (-49338)
peak_539	Hmga2 (+79187)
peak_540	Rassf3 (+8417)
peak_541	BC048403 (-32898)
peak_542	Srgap1 (+131564)
peak_543	Srgap1 (+102277)
peak_544	Tmem5 (-16343)
peak_545	Avpr1a (-57014)
peak_546	Ppm1h (-46863)
peak_547	Mon2 (-8301)
peak_548	Lrig3 (-264796)
peak_549	Lrig3 (+229430)
peak_550	Atp23 (+200543)
peak_551	Atp23 (+38824)
peak_552	Avil (+10745)
peak_553	Esyt1 (+8847)
peak_554	Olfr782 (-7699)
peak_555	Olfr796 (+18695)
peak_556	Tespa1 (-20007)
peak_557	Vmn2r86 (+10949)
peak_558	Ankrd36 (+64901)
peak_559	Mrps24 (+7695)
peak_560	Urgcp (+12229)
peak_561	Igfbp3 (-656147)
peak_562	Abca13 (+173019)
peak_563	Vwc2 (-946524)
peak_564	Vwc2 (-64645)
peak_565	Vwc2 (+34185)
peak_566	Ddc (+41902)
peak_567	Ddc (-68266)
peak_568	Cobl (-441145)
peak_569	Cobl (-851055)
peak_570	Cobl (-914186)
peak_571	NONE
peak_572	NONE
peak_573	NONE
peak_574	NONE
peak_575	Vstm2a (-479555)
peak_576	Sec61g (+122700)
peak_577	Sec61g (-7066)
peak_578	Cnrip1 (+47362)
peak_579	C1d (+260898)
peak_580	Etaa1 (+286156)
peak_581	Etaa1 (-10139)
peak_582	Etaa1 (-98541)
peak_583	Etaa1 (-244660)
peak_584	Etaa1 (-343494)
peak_585	Meis1 (+395532)
peak_586	Meis1 (+382671)
peak_587	Meis1 (-63624)
peak_588	Spred2 (-48392)
peak_589	Slc1a4 (-63433)
peak_590	Wdpcp (+62180)
peak_591	Otx1 (+94450)
peak_592	Tmem17 (+134987)
peak_593	Papolg (+53455)
peak_594	Bcl11a (+204379)
peak_595	Bcl11a (+518789)
peak_596	Bcl11a (+733545)
peak_597	Bcl11a (+803657)
peak_598	Fancl (+40205)
peak_599	Fancl (+81409)
peak_600	Vrk2 (-75948)
peak_601	Vrk2 (-138955)
peak_602	Vrk2 (-768881)
peak_603	Vrk2 (-795467)
peak_604	Ccdc85a (+344073)
peak_605	Ccdc85a (+244193)
peak_606	Ccdc85a (+229976)
peak_607	Pnpt1 (-100095)
peak_608	Ccdc88a (+65017)
peak_609	Eml6 (+64647)
peak_610	Eml6 (-47683)
peak_611	Bod1 (+79782)
peak_612	Fbxw11 (-39352)
peak_613	Fgf18 (+120381)
peak_614	Lcp2 (-32886)
peak_615	Pank3 (-69399)
peak_616	Wwc1 (-361873)
peak_617	Tenm2 (-777131)
peak_618	NONE
peak_619	NONE
peak_620	Mat2b (+443363)
peak_621	Mat2b (+31440)
peak_622	Ccng1 (-260964)
peak_623	Ccng1 (-356421)
peak_624	Gabrg2 (+619420)
peak_625	Gabrg2 (+290440)
peak_626	Gabrg2 (+111058)
peak_627	Il12b (-94076)
peak_628	Sox30 (+33922)
peak_629	Havcr1 (+15899)
