# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 5000000 bp max extension, curated regulatory domains included
Anti-GFP.mLb.mkD.sorted_peak_1339	Slc19a3 (+41)
Anti-GFP.mLb.mkD.sorted_peak_1341	Krtap28-13 (-606)
Anti-GFP.mLb.mkD.sorted_peak_1342	Sphkap (+287)
Anti-GFP.mLb.mkD.sorted_peak_1358	Dner (+595)
Anti-GFP.mLb.mkD.sorted_peak_1370	Slc16a14 (+360)
Anti-GFP.mLb.mkD.sorted_peak_1384	Spata3 (-4204)
Anti-GFP.mLb.mkD.sorted_peak_1387	2810459M11Rik (+769)
Anti-GFP.mLb.mkD.sorted_peak_1402	Tex44 (+1562)
Anti-GFP.mLb.mkD.sorted_peak_1426	Nppc (+607)
Anti-GFP.mLb.mkD.sorted_peak_1430	Alppl2 (+2613)
Anti-GFP.mLb.mkD.sorted_peak_1432	Akp3 (+2621)
Anti-GFP.mLb.mkD.sorted_peak_1434	Ecel1 (+1578)
Anti-GFP.mLb.mkD.sorted_peak_1436	Prss56 (+2286)
Anti-GFP.mLb.mkD.sorted_peak_1438	Chrng (+498)
Anti-GFP.mLb.mkD.sorted_peak_1457	3110079O15Rik (+5118)
Anti-GFP.mLb.mkD.sorted_peak_1460	3110079O15Rik (+39634)
Anti-GFP.mLb.mkD.sorted_peak_1543	Mlph (-5559)
Anti-GFP.mLb.mkD.sorted_peak_1544	Mlph (-205)
Anti-GFP.mLb.mkD.sorted_peak_1554	Ramp1 (+217)
Anti-GFP.mLb.mkD.sorted_peak_1563	Klhl30 (+3440)
Anti-GFP.mLb.mkD.sorted_peak_1576	Twist2 (-27)
Anti-GFP.mLb.mkD.sorted_peak_1591	Rnpepl1 (-1582)
Anti-GFP.mLb.mkD.sorted_peak_1599	Kif1a (+178)
Anti-GFP.mLb.mkD.sorted_peak_1607	Sned1 (+662)
Anti-GFP.mLb.mkD.sorted_peak_1642	St8sia4 (+443)
Anti-GFP.mLb.mkD.sorted_peak_1647	Slco4c1 (-528)
Anti-GFP.mLb.mkD.sorted_peak_1661	Pam (+195)
Anti-GFP.mLb.mkD.sorted_peak_1688	Cdh20 (+582)
Anti-GFP.mLb.mkD.sorted_peak_1695	Rnf152 (+611)
Anti-GFP.mLb.mkD.sorted_peak_1704	Tnfrsf11a (+860)
Anti-GFP.mLb.mkD.sorted_peak_1719	Bcl2 (+589)
Anti-GFP.mLb.mkD.sorted_peak_1735	Cdh7 (+92)
Anti-GFP.mLb.mkD.sorted_peak_1843	Cfap221 (-10)
Anti-GFP.mLb.mkD.sorted_peak_1844	Sctr (+322)
Anti-GFP.mLb.mkD.sorted_peak_1856	Steap3 (+12271)
Anti-GFP.mLb.mkD.sorted_peak_1863	En1 (+1438)
Anti-GFP.mLb.mkD.sorted_peak_1877	Htr5b (+587)
Anti-GFP.mLb.mkD.sorted_peak_1887	Dpp10 (-334)
Anti-GFP.mLb.mkD.sorted_peak_1900	Lypd1 (+126)
Anti-GFP.mLb.mkD.sorted_peak_1901	Nckap5 (+337983)
Anti-GFP.mLb.mkD.sorted_peak_1913	Tmem163 (+1678)
Anti-GFP.mLb.mkD.sorted_peak_1939	Cxcr4 (+491)
Anti-GFP.mLb.mkD.sorted_peak_1947	Cd55b (+298)
Anti-GFP.mLb.mkD.sorted_peak_1948	Cd55 (+366)
Anti-GFP.mLb.mkD.sorted_peak_1963	Rassf5 (+45748)
Anti-GFP.mLb.mkD.sorted_peak_1967	Rassf5 (+707)
Anti-GFP.mLb.mkD.sorted_peak_1978	Pm20d1 (+271)
Anti-GFP.mLb.mkD.sorted_peak_1996	Mfsd4a (-230)
Anti-GFP.mLb.mkD.sorted_peak_2004	Lemd1 (-36935)
Anti-GFP.mLb.mkD.sorted_peak_2018	Klhdc8a (-127)
Anti-GFP.mLb.mkD.sorted_peak_2041	Nfasc (+449)
Anti-GFP.mLb.mkD.sorted_peak_2090	Kiss1 (+6734)
Anti-GFP.mLb.mkD.sorted_peak_2127	Prelp (+3214)
Anti-GFP.mLb.mkD.sorted_peak_2148	Adora1 (+309)
Anti-GFP.mLb.mkD.sorted_peak_2150	Myog (+702)
Anti-GFP.mLb.mkD.sorted_peak_2181	Syt2 (-62292)
Anti-GFP.mLb.mkD.sorted_peak_2185	Syt2 (-347)
Anti-GFP.mLb.mkD.sorted_peak_2193	Lgr6 (+485)
Anti-GFP.mLb.mkD.sorted_peak_2202	Gpr37l1 (+6206)
Anti-GFP.mLb.mkD.sorted_peak_2203	Gpr37l1 (+196)
Anti-GFP.mLb.mkD.sorted_peak_2245	Nav1 (+1651)
Anti-GFP.mLb.mkD.sorted_peak_2269	Tnni1 (-5557)
Anti-GFP.mLb.mkD.sorted_peak_2277	Igfn1 (-1074)
Anti-GFP.mLb.mkD.sorted_peak_2279	Ascl5 (-280)
Anti-GFP.mLb.mkD.sorted_peak_2290	Gpr25 (+970)
Anti-GFP.mLb.mkD.sorted_peak_2301	Kif14 (-4814)
Anti-GFP.mLb.mkD.sorted_peak_2366	Lhx9 (-5366)
Anti-GFP.mLb.mkD.sorted_peak_2431	Brinp3 (+2979)
Anti-GFP.mLb.mkD.sorted_peak_2440	Ptgs2 (-318)
Anti-GFP.mLb.mkD.sorted_peak_2446	Hmcn1 (-32)
Anti-GFP.mLb.mkD.sorted_peak_2487	Colgalt2 (+220)
Anti-GFP.mLb.mkD.sorted_peak_2492	Rgl1 (-13)
Anti-GFP.mLb.mkD.sorted_peak_2534	Lamc2 (-549)
Anti-GFP.mLb.mkD.sorted_peak_2564	Npl (+855)
Anti-GFP.mLb.mkD.sorted_peak_2567	Rgs8 (-142)
Anti-GFP.mLb.mkD.sorted_peak_2572	Rgs16 (+147)
Anti-GFP.mLb.mkD.sorted_peak_2587	Zfp648 (+3719)
Anti-GFP.mLb.mkD.sorted_peak_2589	Cacna1e (+645)
Anti-GFP.mLb.mkD.sorted_peak_2604	BC034090 (-11720)
Anti-GFP.mLb.mkD.sorted_peak_2612	Lhx4 (+1935)
Anti-GFP.mLb.mkD.sorted_peak_2622	Fam163a (+1196)
Anti-GFP.mLb.mkD.sorted_peak_2626	Tdrd5 (+999)
Anti-GFP.mLb.mkD.sorted_peak_2627	Nphs2 (+102)
Anti-GFP.mLb.mkD.sorted_peak_2629	Axdnd1 (-634)
Anti-GFP.mLb.mkD.sorted_peak_2670	BC026585 (+221)
Anti-GFP.mLb.mkD.sorted_peak_2676	Astn1 (+425)
Anti-GFP.mLb.mkD.sorted_peak_2682	4930523C07Rik (-30578)
