# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
peak_311	Rgs14 (+9535)
peak_312	Smad5 (-20681)
peak_313	Klhl3 (+34994)
peak_314	Idnk (-8860)
peak_315	Zcchc6 (-15000)
peak_316	Ctsl (+26842)
peak_317	Zfp369 (+32273)
peak_318	Gm10767 (-189494)
peak_319	Gm10767 (-97137)
peak_320	Gm10767 (-36677)
peak_321	Papd7 (+44995)
peak_322	Erap1 (-47939)
peak_323	Pou5f2 (+49595)
peak_324	Nr2f1 (+35832)
peak_325	Nr2f1 (-159049)
peak_326	Arrdc3 (+80402)
peak_327	Gm17190 (-51647)
peak_328	Enc1 (-16117)
peak_329	Enc1 (+18877)
peak_330	Arhgef28 (+190171)
peak_331	Tmem174 (+64923)
peak_332	Kif2a (-51107)
peak_333	Smim15 (-398567)
peak_334	Mier3 (+39601)
peak_335	Map3k1 (-169808)
peak_336	Ankrd55 (-135746)
peak_337	Flnb (-26377)
peak_338	Olfr31 (-14080)
peak_339	Saysd1 (+50854)
peak_340	Dupd1 (+28658)
peak_341	Zcchc24 (+13805)
peak_342	Il17rd (+76050)
peak_343	Chdh (+120937)
peak_344	Arhgap22 (+34133)
peak_345	Syt15 (+14940)
peak_346	9230112D13Rik (-19028)
peak_347	Ldb3 (+18825)
peak_348	Fermt2 (-35945)
peak_349	Gch1 (+102019)
peak_350	Gm7247 (-3343)
peak_351	Sall2 (-10745)
peak_352	Lrp10 (-14880)
peak_353	Prmt5 (-9809)
peak_354	Il17d (+18782)
peak_355	Sgcg (-16806)
peak_356	Defb42 (+29184)
peak_357	Pinx1 (-65183)
peak_358	Zfp395 (-26223)
peak_359	Scara5 (+64641)
peak_360	Stmn4 (-19324)
peak_361	Ebf2 (-45512)
peak_362	Cdca2 (+107292)
peak_363	Phyhip (+9015)
peak_364	Dok2 (+7007)
peak_365	Tpt1 (-15658)
peak_366	Tpt1 (-9399)
peak_367	Nufip1 (+54225)
peak_368	Rps2-ps6 (-17686)
peak_369	Tsc22d1 (+10258)
peak_370	Tsc22d1 (+38777)
peak_371	Tsc22d1 (+55224)
peak_372	Serp2 (-183617)
peak_373	Lacc1 (+225609)
peak_374	Gm10076 (+51011)
peak_375	Tpm3-rs7 (+58703)
peak_376	Dct (-37524)
peak_377	Dnajc3 (+69372)
peak_378	Ipo5 (-107262)
peak_379	Ipo5 (-78891)
peak_380	Slc15a1 (+48815)
peak_381	Dock9 (-33073)
peak_382	Zic5 (+31262)
peak_383	Zic5 (+14054)
peak_384	Gm10837 (+209)
peak_385	Itgbl1 (+11526)
peak_386	Rai14 (+24888)
peak_387	Myo10 (+71497)
peak_388	Myo10 (+92159)
peak_389	Fam105a (-66839)
peak_390	Mtdh (-45605)
peak_391	Rpl7a-ps3 (-65588)
peak_392	Pabpc1 (-42152)
peak_393	Pabpc1 (-60996)
peak_394	Zfp706 (+51983)
peak_395	Klf10 (-83882)
peak_396	Fzd6 (-15518)
peak_397	Zfpm2 (+324167)
peak_398	Samd12 (-81590)
peak_399	Deptor (-6742)
peak_400	Fam83a (-10642)
peak_401	Sqle (-34471)
peak_402	Ndrg1 (-70647)
peak_403	Zfp251 (+17384)
peak_404	Eif3d (-24780)
peak_405	Baiap2l2 (+14956)
peak_406	Rbx1 (+14630)
peak_407	Gm8444 (+7075)
peak_408	Nfam1 (+46470)
peak_409	7530416G11Rik (-34191)
peak_410	Wnt7b (-75501)
peak_411	Zdhhc25 (+62388)
peak_412	Pim3 (+13733)
peak_413	Rabl2 (-29717)
peak_414	Syt10 (+76002)
peak_415	Cntn1 (-67687)
peak_416	Gxylt1 (+159310)
peak_417	Ano6 (-18386)
peak_418	A130051J06Rik (-29046)
peak_419	Slc38a1 (+75078)
peak_420	Slc38a4 (+102602)
peak_421	Pced1b (-73696)
peak_422	Hdac7 (-19260)
peak_423	Ccdc184 (+13213)
peak_424	Spats2 (-11093)
peak_425	Mcrs1 (-9262)
peak_426	Fmnl3 (-10418)
peak_427	Scn8a (+21426)
peak_428	Ankrd33 (-17340)
peak_429	Hoxc13 (-10765)
peak_430	Hoxc13 (+6012)
peak_431	Hoxc8 (+9087)
peak_432	Hoxc4 (+25555)
peak_433	Hoxc4 (+51649)
peak_434	Smug1 (+10548)
peak_435	Smug1 (-24380)
peak_436	Mefv (+28209)
peak_437	Tmem114 (+15649)
peak_438	Tekt5 (+20469)
peak_439	Rmi2 (+8771)
peak_440	Mkl2 (+191588)
peak_441	Pdxdc1 (+34916)
peak_442	Pkp2 (-15110)
peak_443	Sept5 (-51150)
peak_444	Sept5 (-56893)
peak_445	Sept5 (-66438)
peak_446	Ephb3 (+106496)
peak_447	Hes1 (-226577)
peak_448	Fam43a (+57359)
peak_449	Xxylt1 (+207075)
peak_450	Cep19 (+25002)
peak_451	Zfp148 (-42948)
peak_452	Heg1 (+31024)
peak_453	Kalrn (-59487)
peak_454	Ropn1 (+6275)
peak_455	Mylk (-39514)
peak_456	Dirc2 (+109535)
peak_457	Gap43 (+149979)
peak_458	Gap43 (+34280)
peak_459	Tigit (-46822)
peak_460	Trat1 (+21493)
peak_461	Cd47 (+190499)
peak_462	Bbx (+68137)
peak_463	Ccdc54 (-142032)
peak_464	Impg2 (-58715)
peak_465	Robo1 (-739754)
peak_466	Robo1 (-634766)
peak_467	App (+93329)
peak_468	Tiam1 (+89556)
peak_469	Scaf4 (-14905)
peak_470	Olig2 (-13992)
peak_471	Ifnar1 (+29235)
peak_472	Hlcs (+10056)
peak_473	Dyrk1a (+143659)
peak_474	Ldhal6b (+147860)
peak_475	Ldhal6b (+76517)
peak_476	Synj2 (+8358)
peak_477	Ccr6 (+18466)
peak_478	T (-45218)
peak_479	1700010I14Rik (+179200)
peak_480	Zfp960 (-66684)
peak_481	Lix1 (-56698)
peak_482	Zfp677 (-13777)
peak_483	Zfp229 (+20596)
peak_484	Gm9772 (-73922)
peak_485	Srrm2 (-8015)
peak_486	Gm5225 (-7881)
peak_487	Uqcc2 (+18600)
peak_488	Tulp1 (-9935)
peak_489	Fkbp5 (+6663)
peak_490	Pi16 (+8445)
peak_491	Fgd2 (+55310)
