# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak_155	Npm1 (-17812), Tlx3 (+22571)
peak_156	Tenm2 (-110)
peak_157	Pwwp2a (-55465), Fabp6 (-24993)
peak_158	Ttc1 (-19494), Adra1b (+133734)
peak_159	Ttc1 (-28228), Adra1b (+125000)
peak_160	Rack1 (-811342), Sgcd (-609496)
peak_161	Rack1 (-20667)
peak_162	Rack1 (-10526)
peak_163	Olfr1394 (+15259), Btnl9 (+17523)
peak_164	Zfp354c (+35150), Adamts2 (+190456)
peak_165	Sar1b (+43376), Jade2 (+50590)
peak_166	Olfr1371 (-10200), Skp1a (-8002)
peak_167	Sap30l (-14906), Galnt10 (+141289)
peak_168	4930438A08Rik (-35162), Irgm2 (+40019)
peak_169	Arf1 (-36821), Wnt3a (+25769)
peak_170	Tnfrsf13b (+20941), Usp22 (+27359)
peak_171	Rnf112 (-23552), Mfap4 (-7904)
peak_172	Fam83g (-13070), Grap (+18084)
peak_173	Mmgt2 (+25740), Zfp287 (+53477)
peak_174	Zfp287 (-17258), Gm10428 (-7176)
peak_175	Gm10428 (+3881), Zfp286 (+32481)
peak_176	Tekt3 (-94530), Cdrt4 (+15931)
peak_177	Tmem220 (-40651), 9130409J20Rik (+27865)
peak_178	Ndel1 (-29176), Rnf222 (-6242)
peak_179	Pimreg (+8830), Pitpnm3 (+84493)
peak_180	Rtn4rl1 (+19610), Rpa1 (+134917)
peak_181	Ywhae (-16402), Crk (+37208)
peak_182	1700016K19Rik (-33278), Rph3al (-28896)
peak_183	Glod4 (-121848), Nxn (+33567)
peak_184	Sarm1 (+8575), Slc46a1 (+23186)
peak_185	Utp6 (+171052), Rab11fip4 (+200126)
peak_186	Cdk5r1 (+125956), Myo1d (+177046)
peak_187	Asic2 (-460044), 5530401A14Rik (-247314)
peak_188	Tmem132e (+46040), Cct6b (+329366)
peak_189	Tmem132e (+56181), Cct6b (+319225)
peak_190	Lhx1 (-117292), Mrm1 (+176688)
peak_191	Lhx1 (-255387), Mrm1 (+38593)
peak_192	Usp32 (+28463), Car4 (+153787)
peak_193	Tbx2 (-439621), Bcas3 (+39718)
peak_194	Gm11492 (-120885), Tex14 (+40703)
peak_195	Rnf43 (-23748), Hsf5 (+22175)
peak_196	Mpo (+8757), Lpo (+23775)
peak_197	Olfr464 (-46256), Dynll2 (+20315)
peak_198	Msi2 (+21692), Ccdc182 (+402351)
peak_199	Msi2 (-85132), Akap1 (+61353)
peak_200	Akap1 (-8941), Scpep1 (+81938)
peak_201	Gm525 (+113735), Nog (+114756)
peak_202	Tob1 (-64267), Spag9 (+151084)
peak_203	Ngfr (-57349), Phb (-21873)
peak_204	Hoxb9 (-10396), Hoxb13 (+66745)
peak_205	Skap1 (-16828), Hoxb1 (+82013)
peak_206	Osbpl7 (+14955), Tbx21 (+49748)
peak_207	Srcin1 (-14623), Epop (+39864)
peak_208	Grb7 (+11662), Ikzf3 (+87304)
peak_209	Hap1 (-7108), Jup (+34513)
peak_210	Zfp385c (-22966), Dhx58 (+30612)
peak_211	Stat3 (-19091), Cavin1 (+12256)
