geneid	name2
ENSMUST00000136846	Inpp4a
ENSMUST00000042161	Mgat4a
ENSMUST00000151952	Mgat4a
ENSMUST00000154819	Mgat4a
ENSMUST00000143636	Mgat4a
ENSMUST00000192316	4930594C11Rik
ENSMUST00000162875	2010300C02Rik
ENSMUST00000139725	Mitd1
ENSMUST00000027257	Mitd1
ENSMUST00000027252	Eif5b
ENSMUST00000194892	Gm5099
ENSMUST00000095027	Aff3
ENSMUST00000238906	Aff3
ENSMUST00000039827	Aff3
ENSMUST00000056815	Npas2
ENSMUST00000054462	Tbc1d8
ENSMUST00000193823	Tbc1d8
ENSMUST00000151913	Rfx8
ENSMUST00000163854	Map4k4
ENSMUST00000168431	Map4k4
ENSMUST00000193682	Map4k4
ENSMUST00000195860	Map4k4
ENSMUST00000195259	Map4k4
ENSMUST00000195636	Map4k4
ENSMUST00000192509	Map4k4
ENSMUST00000027243	Il1r2
ENSMUST00000027241	Il1r1
ENSMUST00000191850	Gm38070
ENSMUST00000027231	Slc9a2
ENSMUST00000186391	Gm29260
ENSMUST00000190148	Gm28140
ENSMUST00000181660	Pantr1
ENSMUST00000199521	Gm20646
ENSMUST00000176807	Gm20646
ENSMUST00000057208	Mrps9
ENSMUST00000189899	Gm29040
ENSMUST00000086421	Nck2
ENSMUST00000126008	Uxs1
ENSMUST00000027214	Ercc5
ENSMUST00000074525	Gulp1
ENSMUST00000160854	Gulp1
ENSMUST00000194332	Gm37626
ENSMUST00000162600	Gulp1
ENSMUST00000086430	Col5a2
ENSMUST00000189749	Dnah7c
ENSMUST00000081851	Tmeff2
ENSMUST00000189867	9330175M20Rik
ENSMUST00000190169	Gm17767
ENSMUST00000189410	Gm17767
ENSMUST00000046390	Myo1b
ENSMUST00000114537	Myo1b
ENSMUST00000114541	Myo1b
ENSMUST00000018561	Myo1b
ENSMUST00000168302	Stat4
ENSMUST00000027277	Stat4
ENSMUST00000114513	Gls
ENSMUST00000114512	Gls
ENSMUST00000189527	Gm553
ENSMUST00000156876	Mfsd6
ENSMUST00000087701	Mfsd6
ENSMUST00000114492	1700019D03Rik
ENSMUST00000114493	1700019D03Rik
ENSMUST00000191441	1700019D03Rik
ENSMUST00000190831	1700019D03Rik
ENSMUST00000186266	1700019D03Rik
ENSMUST00000190726	1700019D03Rik
ENSMUST00000027267	Pms1
ENSMUST00000144660	Gm28551
ENSMUST00000027264	Asnsd1
ENSMUST00000123519	Asnsd1
ENSMUST00000120904	Hecw2
ENSMUST00000087659	Hecw2
ENSMUST00000097741	Hecw2
